CPUTimeRAW|NCPUS|ReqGRES|
0|1||
4|4||
68|4||
8|4||
8|4||
48|4||
8|4||
8|4||
4|4||
48|4||
48|4||
4|4||
4|4||
8|4||
48|4||
8|4||
4|4||
3292|4||
0|1||
4|4||
1380|4||
8|4||
8|4||
48|4||
944|4||
6940|20||
16540|20||
20|20||
1088|4||
2640|20||
344|4||
0|20||
0|20||
48|4||
32040|20||
1400|20||
984|4||
1480|20||
3360|20||
9460|20||
1340|4||
0|80||
700|20||
360|20||
408|12||
0|1||
0|20||
648|4||
1080|20||
2096|4||
280|20||
5184000|20||
8180|20||
0|1||
1960|20||
2700|20||
