CPUTimeRAW|NCPUS|ReqGRES|
1804|4|gpu:v100:0|
64|4|gpu:v100:0|
32|4|gpu:v100:0|
0|1||
504|4|gpu:v100:0|
28|4|gpu:v100:0|
1424|4|gpu:v100:0|
32|4|gpu:v100:0|
32|4|gpu:v100:0|
40|4|gpu:v100:0|
4872|4|gpu:v100:0|
5724|4|gpu:v100:0|
56|4|gpu:v100:0|
0|1||
428|4|gpu:v100:0|
428|4|gpu:v100:0|
312|4|gpu:v100:0|
44|4|gpu:v100:0|
44|4|gpu:v100:0|
312|4|gpu:v100:0|
696|4||
6120|4|gpu:v100:0|
60|4|gpu:v100:0|
60|4|gpu:v100:0|
4628|4|gpu:v100:0|
2420|4||
16|4|gpu:v100:0|
48|4|gpu:v100:0|
48|4|gpu:v100:0|
16|4|gpu:v100:0|
448|4||
76|4|gpu:v100:0|
4292|4|gpu:v100:0|
5796|4|gpu:v100:0|
84|4|gpu:v100:0|
20|4|gpu:v100:0|
24|4|gpu:v100:0|
1232|4||
520|4||
68|4|gpu:v100:0|
68|4|gpu:v100:0|
7692|4|gpu:v100:0|
5876|4|gpu:v100:0|
8384|4|gpu:v100:0|
7364|4|gpu:v100:0|
8952|4|gpu:v100:0|
9712|4|gpu:v100:0|
32|4|gpu:v100:0|
6648|4|gpu:v100:0|
48|4|gpu:v100:0|
172|4|gpu:v100:0|
172|4|gpu:v100:0|
56|4|gpu:v100:0|
64|4|gpu:v100:0|
56|4|gpu:v100:0|
6160|4|gpu:v100:0|
6256|4|gpu:v100:0|
7052|4|gpu:v100:0|
6184|4|gpu:v100:0|
6176|4|gpu:v100:0|
6160|4|gpu:v100:0|
5588|4|gpu:v100:0|
6412|4|gpu:v100:0|
7220|4|gpu:v100:0|
8008|4|gpu:v100:0|
5608|4|gpu:v100:0|
5628|4|gpu:v100:0|
5600|4|gpu:v100:0|
7104|4|gpu:v100:0|
6356|4|gpu:v100:0|
6172|4|gpu:v100:0|
5608|4|gpu:v100:0|
5608|4|gpu:v100:0|
5612|4|gpu:v100:0|
6252|4|gpu:v100:0|
7000|4|gpu:v100:0|
6164|4|gpu:v100:0|
6160|4|gpu:v100:0|
6164|4|gpu:v100:0|
5620|4|gpu:v100:0|
5608|4|gpu:v100:0|
5608|4|gpu:v100:0|
0|1||
5624|4|gpu:v100:0|
5604|4|gpu:v100:0|
6204|4|gpu:v100:0|
6204|4|gpu:v100:0|
6112|4|gpu:v100:0|
6112|4|gpu:v100:0|
6152|4|gpu:v100:0|
5616|4|gpu:v100:0|
5616|4|gpu:v100:0|
5616|4|gpu:v100:0|
5620|4|gpu:v100:0|
5684|4|gpu:v100:0|
6252|4|gpu:v100:0|
6872|4|gpu:v100:0|
6180|4|gpu:v100:0|
6180|4|gpu:v100:0|
6204|4|gpu:v100:0|
5696|4|gpu:v100:0|
5684|4|gpu:v100:0|
5684|4|gpu:v100:0|
6428|4|gpu:v100:0|
5692|4|gpu:v100:0|
6916|4|gpu:v100:0|
6912|4|gpu:v100:0|
6904|4|gpu:v100:0|
6900|4|gpu:v100:0|
6912|4|gpu:v100:0|
6432|4|gpu:v100:0|
6460|4|gpu:v100:0|
6460|4|gpu:v100:0|
6432|4|gpu:v100:0|
5644|4|gpu:v100:0|
7044|4|gpu:v100:0|
6248|4|gpu:v100:0|
6156|4|gpu:v100:0|
6156|4|gpu:v100:0|
6184|4|gpu:v100:0|
5648|4|gpu:v100:0|
5640|4|gpu:v100:0|
5636|4|gpu:v100:0|
5648|4|gpu:v100:0|
5632|4|gpu:v100:0|
6864|4|gpu:v100:0|
6860|4|gpu:v100:0|
6208|4|gpu:v100:0|
6204|4|gpu:v100:0|
6256|4|gpu:v100:0|
5644|4|gpu:v100:0|
5644|4|gpu:v100:0|
5636|4|gpu:v100:0|
5636|4|gpu:v100:0|
5604|4|gpu:v100:0|
6156|4|gpu:v100:0|
6152|4|gpu:v100:0|
6160|4|gpu:v100:0|
6160|4|gpu:v100:0|
6172|4|gpu:v100:0|
6184|4|gpu:v100:0|
5668|4|gpu:v100:0|
